avg_deal_price,lowest_deal_price,num_bidder,num_plates
40380.0,39200.0,16252.0,9200.0
39362.0,38400.0,13389.0,9000.0
40169.0,39800.0,16855.0,9000.0
42180.0,41800.0,15198.0,9000.0
43271.0,43000.0,14941.0,9000.0
45291.0,44900.0,13429.0,8500.0
15970.0,10400.0,11224.0,9000.0
38771.0,38300.0,30675.0,8000.0
44627.0,44200.0,25104.0,7500.0
46657.0,46200.0,25014.0,8000.0
47399.0,46300.0,22326.0,8000.0
47700.0,47400.0,25708.0,9000.0
48855.0,48500.0,22474.0,9000.0
51174.0,50900.0,21852.0,9000.0
52228.0,51000.0,21544.0,9000.0
52622.0,52200.0,22268.0,9500.0
54008.0,53800.0,19415.0,9000.0
47635.0,45700.0,20050.0,9000.0
51437.0,51000.0,26531.0,8500.0
53195.0,52800.0,24354.0,8000.0
55632.0,55400.0,23391.0,8000.0
58625.0,58300.0,24897.0,8000.0
61626.0,61000.0,22706.0,8500.0
64367.0,64000.0,24230.0,9300.0
58227.0,55800.0,24774.0,9500.0
58271.0,57700.0,26526.0,9500.0
62559.0,62100.0,21425.0,9500.0
66425.0,65700.0,19114.0,9500.0
66708.0,65200.0,19921.0,9500.0
66946.0,66400.0,19120.0,9500.0
69346.0,68900.0,18244.0,9500.0
75332.0,75000.0,20857.0,9000.0
83571.0,83300.0,24651.0,9000.0
91898.0,90800.0,23589.0,9000.0
84101.0,83900.0,26174.0,11000.0
80803.0,80700.0,22224.0,9000.0
77823.0,77600.0,21482.0,9000.0
76465.0,76300.0,21811.0,9000.0
74939.0,74700.0,22650.0,9000.0
73492.0,73400.0,35154.0,9000.0
83723.0,82300.0,28887.0,10000.0
75717.0,75500.0,38220.0,8500.0
76093.0,76000.0,39625.0,8500.0
73501.0,73500.0,41946.0,8100.0
73357.0,73200.0,45758.0,7400.0
73872.0,73800.0,61853.0,7400.0
74113.0,74000.0,94241.0,8200.0
74503.0,74400.0,114121.0,7400.0
73896.0,73800.0,135677.0,7400.0
74680.0,74600.0,136098.0,7400.0
73785.0,73600.0,121550.0,7400.0
73875.0,73800.0,122219.0,8300.0
74075.0,74000.0,105532.0,7400.0
73633.0,73500.0,95595.0,7400.0
73687.0,73600.0,96972.0,7447.0
74216.0,74000.0,98203.0,7990.0
76618.0,76500.0,103224.0,7653.0
74830.0,74600.0,132690.0,7406.0
80759.0,80600.0,152298.0,8288.0
79099.0,79000.0,156007.0,7482.0
80020.0,80000.0,172205.0,7441.0
83171.0,83100.0,166302.0,7531.0
82642.0,82600.0,166939.0,7454.0
82172.0,82100.0,165765.0,8727.0
85424.0,85300.0,170995.0,7763.0
84703.0,84600.0,169159.0,7514.0
84572.0,84500.0,179133.0,7698.0
82352.0,82200.0,187533.0,9409.0
83244.0,83200.0,196470.0,8363.0
83148.0,83100.0,221109.0,8310.0
85127.0,85100.0,256897.0,11829.0
85058.0,85000.0,277889.0,11598.0
84483.0,84400.0,275438.0,11546.0
87235.0,87200.0,240750.0,11475.0
86946.0,86900.0,251188.0,11549.0
86523.0,86500.0,229544.0,12889.0
88359.0,88300.0,213212.0,11621.0
88665.0,88600.0,215424.0,11549.0
88412.0,88300.0,219882.0,12261.0
87685.0,87600.0,232101.0,12215.0
88240.0,88200.0,251717.0,10157.0
87916.0,87800.0,262010.0,10356.0
89850.0,89800.0,252273.0,12196.0
90209.0,90100.0,270197.0,10316.0
89532.0,89400.0,244349.0,10312.0
92250.0,92200.0,269189.0,10325.0
91629.0,91600.0,256083.0,10558.0
91415.0,91300.0,250566.0,12413.0
93540.0,93500.0,244868.0,11388.0
